[2025-09-05 11:24:49] [INFO ] [main] databases.task01.Main.main - Data: firstname=Jon, lastname=Alexeev, birthdate=2025-06-20
[2025-09-05 11:24:49] [INFO ] [main] databases.task01.Main.main - Data: firstname=Maxim, lastname=Ivanov, birthdate=2000-06-20
[2025-09-05 11:24:49] [INFO ] [main] databases.task01.Main.main - Data: firstname=Cristiano, lastname=Ronaldo, birthdate=1985-05-05
[2025-09-05 11:28:37] [INFO ] [main] databases.task01.Main.main - Data: firstname=Jon, lastname=Alexeev, birthdate=2025-06-20
[2025-09-05 11:28:37] [INFO ] [main] databases.task01.Main.main - Data: firstname=Maxim, lastname=Ivanov, birthdate=2000-06-20
[2025-09-05 11:28:37] [INFO ] [main] databases.task01.Main.main - Data: firstname=Cristiano, lastname=Ronaldo, birthdate=1985-05-05
[2025-09-05 11:33:45] [INFO ] [main] databases.task01.Main.main - Data: firstname=Jon, lastname=Alexeev, birthdate=2025-06-20
[2025-09-05 11:33:45] [INFO ] [main] databases.task01.Main.main - Data: firstname=Maxim, lastname=Ivanov, birthdate=2000-06-20
[2025-09-05 11:33:45] [INFO ] [main] databases.task01.Main.main - Data: firstname=Cristiano, lastname=Ronaldo, birthdate=1985-05-05
[2025-09-05 11:43:35] [INFO ] [main] databases.task01.Main.main - Data: firstname=Jon, lastname=Alexeev, birthdate=2025-06-20
[2025-09-05 11:43:35] [INFO ] [main] databases.task01.Main.main - Data: firstname=Maxim, lastname=Ivanov, birthdate=2000-06-20
[2025-09-05 11:43:35] [INFO ] [main] databases.task01.Main.main - Data: firstname=Cristiano, lastname=Ronaldo, birthdate=1985-05-05
[2025-09-05 11:44:24] [INFO ] [main] databases.task01.Main.main - Data: firstname=Jon, lastname=Alexeev, birthdate=2025-06-20
[2025-09-05 11:44:24] [INFO ] [main] databases.task01.Main.main - Data: firstname=Maxim, lastname=Ivanov, birthdate=2000-06-20
[2025-09-05 11:44:24] [INFO ] [main] databases.task01.Main.main - Data: firstname=Cristiano, lastname=Ronaldo, birthdate=1985-05-05
[2025-09-05 11:45:03] [INFO ] [main] databases.task01.Main.main - Data: firstname=Jon, lastname=Alexeev, birthdate=2025-06-20
[2025-09-05 11:45:03] [INFO ] [main] databases.task01.Main.main - Data: firstname=Maxim, lastname=Ivanov, birthdate=2000-06-20
[2025-09-05 11:45:03] [INFO ] [main] databases.task01.Main.main - Data: firstname=Cristiano, lastname=Ronaldo, birthdate=1985-05-05
[2025-09-05 11:47:58] [INFO ] [main] databases.task01.Main.main - Data: firstname=Jon, lastname=Alexeev, birthdate=2025-06-20
[2025-09-05 11:47:58] [INFO ] [main] databases.task01.Main.main - Data: firstname=Maxim, lastname=Ivanov, birthdate=2000-06-20
[2025-09-05 11:47:58] [INFO ] [main] databases.task01.Main.main - Data: firstname=Cristiano, lastname=Ronaldo, birthdate=1985-05-05
[2025-09-05 11:48:42] [INFO ] [main] databases.task01.Main.main - Data: firstname=Jon, lastname=Alexeev, birthdate=2025-06-20
[2025-09-05 11:48:42] [INFO ] [main] databases.task01.Main.main - Data: firstname=Maxim, lastname=Ivanov, birthdate=2000-06-20
[2025-09-05 11:48:42] [INFO ] [main] databases.task01.Main.main - Data: firstname=Cristiano, lastname=Ronaldo, birthdate=1985-05-05
[2025-09-05 11:49:39] [INFO ] (18[2025-09-05 11:49:39] [INFO ] (18[2025-09-05 11:49:39] [INFO ] (18[2025-09-05 11:50:30] [INFO ] INFO  [main](18[2025-09-05 11:50:30] [INFO ] INFO  [main](18[2025-09-05 11:50:30] [INFO ] INFO  [main](18[2025-09-05 11:51:06] [INFO ] [main] databases.task01.Main.main - Data: firstname=Jon, lastname=Alexeev, birthdate=2025-06-20
[2025-09-05 11:51:06] [INFO ] [main] databases.task01.Main.main - Data: firstname=Maxim, lastname=Ivanov, birthdate=2000-06-20
[2025-09-05 11:51:06] [INFO ] [main] databases.task01.Main.main - Data: firstname=Cristiano, lastname=Ronaldo, birthdate=1985-05-05
[2025-09-05 11:51:51] [INFO ] [main] databases.task01.Main.main - Data: firstname=Jon, lastname=Alexeev, birthdate=2025-06-20
[2025-09-05 11:51:51] [INFO ] [main] databases.task01.Main.main - Data: firstname=Maxim, lastname=Ivanov, birthdate=2000-06-20
[2025-09-05 11:51:51] [INFO ] [main] databases.task01.Main.main - Data: firstname=Cristiano, lastname=Ronaldo, birthdate=1985-05-05
[2025-09-05 11:53:07] [INFO ] [main] databases.task01.Main.18 - Data: firstname=Jon, lastname=Alexeev, birthdate=2025-06-20
[2025-09-05 11:53:07] [INFO ] [main] databases.task01.Main.18 - Data: firstname=Maxim, lastname=Ivanov, birthdate=2000-06-20
[2025-09-05 11:53:07] [INFO ] [main] databases.task01.Main.18 - Data: firstname=Cristiano, lastname=Ronaldo, birthdate=1985-05-05
[2025-09-05 11:53:42] [INFO ] [main] databases.task01.Main.main%PARSER_ERROR[l] - Data: firstname=Jon, lastname=Alexeev, birthdate=2025-06-20
[2025-09-05 11:53:42] [INFO ] [main] databases.task01.Main.main%PARSER_ERROR[l] - Data: firstname=Maxim, lastname=Ivanov, birthdate=2000-06-20
[2025-09-05 11:53:42] [INFO ] [main] databases.task01.Main.main%PARSER_ERROR[l] - Data: firstname=Cristiano, lastname=Ronaldo, birthdate=1985-05-05
[2025-09-05 11:54:30] [INFO ] [main] databases.task01.Main.main.18 - Data: firstname=Jon, lastname=Alexeev, birthdate=2025-06-20
[2025-09-05 11:54:30] [INFO ] [main] databases.task01.Main.main.18 - Data: firstname=Maxim, lastname=Ivanov, birthdate=2000-06-20
[2025-09-05 11:54:30] [INFO ] [main] databases.task01.Main.main.18 - Data: firstname=Cristiano, lastname=Ronaldo, birthdate=1985-05-05
[2025-09-05 12:02:26] [INFO ] [main] databases.task01.Main.main.19 - Data: firstname=Jon, lastname=Alexeev, birthdate=2025-06-20
[2025-09-05 12:02:26] [INFO ] [main] databases.task01.Main.main.19 - Data: firstname=Maxim, lastname=Ivanov, birthdate=2000-06-20
[2025-09-05 12:02:26] [INFO ] [main] databases.task01.Main.main.19 - Data: firstname=Cristiano, lastname=Ronaldo, birthdate=1985-05-05
